import time: self [us] | cumulative | imported package
import time:      3806 |       3806 |               numpy._core._add_newdocs
import time:      1079 |       1079 |               numpy._core._add_newdocs_scalars
import time:       353 |        353 |               numpy._core._dtype_ctypes
import time:       610 |        610 |               numpy._core._internal
import time:       350 |        350 |               numpy._pytesttester
import time:       803 |      23636 |             numpy._core
import time:        25 |      23660 |           numpy._core._multiarray_umath
import time:       371 |      24031 |         numpy.__config__
import time:       371 |        371 |                           numpy._typing._nbit_base
import time:       388 |        388 |                           numpy._typing._nested_sequence
import time:       302 |        302 |                           numpy._typing._shape
import time:      1487 |       2546 |                         numpy._typing._array_like
import time:      1394 |       1394 |                         numpy._typing._char_codes
import time:      1606 |       1606 |                         numpy._typing._dtype_like
import time:       349 |        349 |                         numpy._typing._nbit
import time:       307 |        307 |                         numpy._typing._scalars
import time:       257 |        257 |                         numpy._typing._ufunc
import time:       463 |       6920 |                       numpy._typing
import time:       457 |        457 |                         numpy.lib._stride_tricks_impl
import time:       416 |        872 |                       numpy.lib._twodim_base_impl
import time:       294 |        294 |                         numpy.lib._array_utils_impl
import time:       300 |        594 |                       numpy.lib.array_utils
import time:       360 |        360 |                       numpy.linalg._umath_linalg
import time:      1267 |      10010 |                     numpy.linalg._linalg
import time:       338 |      10348 |                   numpy.linalg
import time:       467 |      10815 |                 numpy.matrixlib.defmatrix
import time:       416 |      11230 |               numpy.matrixlib
import time:       473 |        473 |                 numpy.lib._histograms_impl
import time:      1235 |       1708 |               numpy.lib._function_base_impl
import time:       489 |      13426 |             numpy.lib._index_tricks_impl
import time:       552 |      13977 |           numpy.lib._arraypad_impl
import time:       715 |        715 |           numpy.lib._arraysetops_impl
import time:       390 |        390 |           numpy.lib._arrayterator_impl
import time:       576 |        576 |           numpy.lib._nanfunctions_impl
import time:      1416 |       1416 |                     _wmi
import time:       989 |       2405 |                   platform
import time:       344 |       2749 |                 numpy.lib._utils_impl
import time:       363 |       3111 |               numpy.lib._format_impl
import time:       254 |       3364 |             numpy.lib.format
import time:       633 |        633 |             numpy.lib._datasource
import time:       722 |        722 |             numpy.lib._iotools
import time:       710 |       5428 |           numpy.lib._npyio_impl
import time:      1036 |       1036 |               numpy.lib._ufunclike_impl
import time:       511 |       1546 |             numpy.lib._type_check_impl
import time:       779 |       2324 |           numpy.lib._polynomial_impl
import time:       684 |        684 |           numpy.lib._shape_base_impl
import time:       491 |        491 |           numpy.lib._version
import time:       273 |        273 |           numpy.lib.introspect
import time:       274 |        274 |           numpy.lib.mixins
import time:       306 |        306 |           numpy.lib.npyio
import time:      9232 |       9232 |             numpy.lib._scimath_impl
import time:       289 |       9520 |           numpy.lib.scimath
import time:       572 |        572 |           numpy.lib.stride_tricks
import time:       540 |      36064 |         numpy.lib
import time:       407 |        407 |         numpy._array_api_info
import time:      1351 |      64091 |       numpy
import time:       361 |        361 |         dateutil._version
import time:       537 |        898 |       dateutil
import time: 1297644347 | 1297644347 |         pandas.compat._constants
import time:       331 |        331 |             pandas.util
import time:      1612 |       1942 |           pandas.util.version
import time:       778 |       2719 |         pandas.compat.numpy
import time:       232 |        232 |           pyarrow
import time:       433 |        665 |         pandas.compat.pyarrow
import time:       536 | 1297648266 |       pandas.compat
import time:       570 |        570 |               numpy._typing._add_docstring
import time:       293 |        863 |             numpy.typing
import time:       503 |        503 |                   numpy.random._common
import time:       461 |        963 |                 numpy.random.bit_generator
import time:       384 |       1347 |               numpy.random._bounded_integers
import time:       301 |        301 |                   numpy.random._pcg64
import time:      1197 |       1498 |                 numpy.random._generator
import time:       248 |        248 |                 numpy.random._mt19937
import time:       235 |        235 |                 numpy.random._philox
import time:       212 |        212 |                 numpy.random._sfc64
import time:      1058 |       1058 |                 numpy.random.mtrand
import time:       428 |       3677 |               numpy.random._pickle
import time:       412 |       5435 |             numpy.random
import time:      2022 |       8319 |           pandas._typing
import time:       518 |        518 |           pandas.util._exceptions
import time:       781 |       9617 |         pandas._config.config
import time:       514 |        514 |         pandas._config.dates
import time:       292 |        292 |         pandas._config.display
import time:       345 |      10766 |       pandas._config
import time:       242 |        242 |         pandas.core
import time:       455 |        455 |               pandas._libs.pandas_parser
import time:       186 |        186 |               pandas._libs.pandas_datetime
import time:       319 |        319 |                             pandas._libs._cyutility
import time:       258 |        577 |                           pandas._libs.tslibs.ccalendar
import time:       417 |        417 |                           pandas._libs.tslibs.np_datetime
import time:       771 |       1764 |                         pandas._libs.tslibs.dtypes
import time:       297 |        297 |                           pandas._libs.tslibs.base
import time:       488 |        488 |                               pandas._libs.tslibs.nattype
import time:       774 |        774 |                                   zoneinfo._zoneinfo
import time:       442 |        442 |                                   pandas.compat._optional
import time:       977 |        977 |                                       six
import time:        52 |         52 |                                       six.moves
import time:       444 |        444 |                                       dateutil.tz._common
import time:       377 |        377 |                                       dateutil.tz._factories
import time:       640 |        640 |                                       dateutil.tz.win
import time:       861 |       3349 |                                     dateutil.tz.tz
import time:       368 |       3716 |                                   dateutil.tz
import time:      1047 |       5978 |                                 pandas._libs.tslibs.timezones
import time:       303 |        303 |                                   pandas._libs.properties
import time:       550 |        853 |                                 pandas.util._decorators
import time:      1022 |       1022 |                                   _strptime
import time:       496 |        496 |                                   pandas._config.localization
import time:       397 |       1915 |                                 pandas._libs.tslibs.fields
import time:       888 |       9632 |                               pandas._libs.tslibs.timedeltas
import time:       485 |        485 |                               pandas._libs.tslibs.tzconversion
import time:       993 |      11597 |                             pandas._libs.tslibs.timestamps
import time:       623 |        623 |                             dateutil.easter
import time:      1744 |      13963 |                           pandas._libs.tslibs.offsets
import time:       372 |        372 |                                 dateutil._common
import time:      1324 |       1695 |                               dateutil.parser._parser
import time:       467 |        467 |                               dateutil.parser.isoparser
import time:       389 |       2550 |                             dateutil.parser
import time:       889 |        889 |                             pandas._libs.tslibs.strptime
import time:       529 |       3967 |                           pandas._libs.tslibs.parsing
import time:       509 |      18735 |                         pandas._libs.tslibs.conversion
import time:       688 |        688 |                         pandas._libs.tslibs.period
import time:       351 |        351 |                         pandas._libs.tslibs.vectorized
import time:       452 |      21988 |                       pandas._libs.tslibs
import time:        24 |      22012 |                     pandas._libs.tslibs.nattype
import time:       237 |        237 |                     pandas._libs.ops_dispatch
import time:       555 |      22803 |                   pandas._libs.missing
import time:      2261 |      25064 |                 pandas._libs.hashtable
import time:       845 |        845 |                 pandas._libs.algos
import time:       723 |      26631 |               pandas._libs.interval
import time:       280 |      27550 |             pandas._libs
import time:        21 |      27571 |           pandas._libs.tslibs
import time:       621 |      28191 |         pandas.errors
import time:       828 |      29260 |       pandas.core.config_init
import time:       338 |        338 |           pandas.core.dtypes
import time:       976 |        976 |           pandas._libs.lib
import time:       559 |        559 |             pandas.core.dtypes.generic
